0,Vera Institute of Justice,3.2,0,Nonprofit Organization,0
1,Visiting Nurse Service of New York,3.8,0,Nonprofit Organization,1
3,Celerity,4.1,0,Subsidiary or Business Segment,3
4,FanDuel,3.9,0,Company - Private,4
7,GNY Insurance Companies,3.7,0,Company - Private,7
8,DMGT,4.0,0,Company - Public,8
10,NYU Langone Health,4.0,0,Hospital,10
12,Montefiore Medical,3.7,0,Nonprofit Organization,12
13,Known,3.0,0,Company - Private,13
14,Advisor Group,3.4,2,Company - Private,14
17,NYSTEC,3.8,0,Nonprofit Organization,17
18,"Education Development Center, Inc.",3.9,0,Nonprofit Organization,18
22,Macquarie Group,3.3,0,Company - Public,22
26,Duolingo,5.0,0,Company - Private,26
30,Revel,3.6,3,Company - Private,30
44,"Nesco Resource, LLC",2.9,0,Company - Private,44
45,MediaMath,3.6,0,Company - Private,45
47,Roku,3.9,0,Company - Public,47
49,Citadel,3.8,0,Company - Private,49
50,Xoriant Corporation,3.7,2,Company - Private,50
52,"TSR, Inc.",3.6,4,Company - Public,52
54,Fragomen Worldwide,3.2,0,Company - Private,54
56,Real Capital Analytics,3.9,0,Company - Private,56
57,Perficient,3.6,0,Company - Public,57
58,Kforce,4.1,0,Company - Public,58
59,Criteo,3.9,0,Company - Public,59
61,Neuberger Berman,3.7,0,Company - Private,61
63,Diverse Lynx,3.9,0,Company - Private,63
64,eTeam Inc.,3.7,0,Company - Private,64
70,"Discovery Communications, Inc.",3.5,0,Company - Public,70
76,Mitchell Martin,4.1,0,Company - Private,76
80,Praescient Analytics,3.1,0,Company - Private,80
82,FINRA,3.4,0,Nonprofit Organization,82
84,Jefferies,3.6,0,Company - Public,84
85,RGP,4.1,0,Company - Public,85
86,Tachyon Technologies,4.4,0,Company - Private,86
87,Apex Systems,3.8,2,Subsidiary or Business Segment,87
94,ektello,4.6,0,Company - Private,94
95,"Premier, Inc.",3.0,0,Company - Public,95
100,Reliable Software Resources,4.0,0,Company - Private,100
104,Cowen,3.7,0,Company - Public,104
105,Robert Half,3.5,0,Company - Public,105
106,FJA-US Inc.,2.8,0,Subsidiary or Business Segment,106
109,Wildlife Conservation Society,3.4,0,Nonprofit Organization,109
110,Asembia,3.6,6,Company - Private,110
115,"EDP World, Inc.",3.5,0,Company - Private,115
117,"Staffigo Technical Services, LLC",5.0,0,Company - Private,117
120,Huxley,3.3,0,Company - Private,120
123,Child Mind Institute,3.2,0,Nonprofit Organization,123
127,William Hill US,2.7,2,Company - Public,127
128,Rockstar Games,4.1,0,Subsidiary or Business Segment,128
130,Decision Resources Group,3.1,0,Subsidiary or Business Segment,130
133,Columbia University,3.9,0,College / University,133
134,Precision technologies corp,4.2,0,Company - Private,134
136,Cuny Research Foundation,4.2,0,Nonprofit Organization,136
141,Mount Sinai Health System,3.4,0,Hospital,141
143,"Halcyon Solutions, Inc.",3.3,0,Company - Private,143
145,COUNCIL ON ACCREDITATION,3.8,0,Nonprofit Organization,145
152,APCO Worldwide,3.4,0,Company - Private,152
153,Brooklyn Community Services,2.5,3,Nonprofit Organization,153
157,Workforce Logiq,3.6,10,Company - Private,157
158,Cross River Bank,3.3,11,Company - Private,158
164,22nd Century Technologies,3.7,0,Company - Private,164
166,Software Guidance & Assistance,3.7,2,Company - Private,166
168,TSR Consulting,3.6,0,Company - Public,168
170,"Take-Two Interactive Software, Inc.",3.7,0,Company - Public,170
183,CASES,3.5,0,Nonprofit Organization,183
186,Acacia Network,3.3,13,Nonprofit Organization,186
189,"TSR, Inc.",3.6,2,Company - Public,189
192,Eclaro,3.4,0,Company - Private,192
194,Source of Future Technology Inc,4.2,0,Company - Private,194
196,Brink's,2.7,0,Company - Public,196
197,Seven Seven Softwares,3.1,8,Company - Public,197
200,Mitchell Martin,4.1,2,Company - Private,200
201,RMS Computer Corporation,3.0,2,Company - Private,201
203,2U,3.5,0,Company - Public,203
205,Mount Sinai Medical Center,3.1,0,Nonprofit Organization,205
207,IPRO,3.0,15,Nonprofit Organization,207
208,CASES,3.2,0,Company - Public,208
209,Brown Brothers Harriman,3.3,0,Company - Private,209
223,Integrated Resources,3.1,0,Company - Private,223
225,Avani Technology Solutions,4.5,0,Company - Private,225
228,V R Della Infotech Inc,4.1,10,Company - Private,228
229,New York Times,3.8,0,Company - Public,229
232,LanceSoft Inc,3.8,0,Company - Private,232
237,Informa Intelligence,3.8,0,Company - Public,237
239,RMS Computer,3.0,2,Company - Private,239
242,SAT Healthcare,3.5,0,Company - Private,242
243,American CyberSystems,4.0,0,Company - Private,243
244,M&T Bank Corporation,3.3,0,Company - Public,244
248,CMI/Compas,3.6,0,Company - Private,248
249,AbleTo,4.3,0,Company - Private,249
250,Eagle Investment Systems,3.7,0,Subsidiary or Business Segment,250
251,Kforce,4.1,16,Company - Public,251
252,Hikma Pharmaceuticals,3.3,18,Company - Public,252
257,VNA Health Group,3.3,19,Nonprofit Organization,257
258,Hexacorp,3.4,0,Company - Private,258
259,Informa,3.2,0,Company - Public,259
261,VIVA USA INC,4.6,20,Company - Private,261
266,Saratoga Medical Center,4.1,0,Company - Private,266
267,YAI/NIPD Network,3.1,0,Nonprofit Organization,267
269,"Competent Systems, Inc",3.7,2,Company - Private,269
270,Genpact,3.5,0,Company - Public,270
274,EmblemHealth,2.4,0,Nonprofit Organization,274
276,National Kidney Foundation,3.2,0,Nonprofit Organization,276
281,"Intercontinental Exchange, Inc.",2.8,0,Company - Public,281
282,"8K Miles Software Services, Inc.",3.7,0,Company - Public,282
283,VTS,4.2,0,Company - Private,283
285,Robert Half,3.5,2,Company - Public,285
286,Village Care,2.0,0,Nonprofit Organization,286
